rating,title,date,body,verified,name
5.0 out of 5 stars,My cat won't leave her new perch.,"Reviewed in the United States on December 31, 2022",Set this thing up in a flash and put it in front of the window. Literally can't get the cat outta the room now. She LOVES it. Highly recommend. Is also built well & sturdy.,true,GFTXfam
5.0 out of 5 stars,My cats love it!!!,"Reviewed in the United States on December 28, 2022",I was surprised that this cat tree was so sturdy for the price it is a great deal. My cats LOVE it!! They are lounging on it all the time.,true,Ashlie
5.0 out of 5 stars,PERFECT!!,"Reviewed in the United States on December 19, 2022",Very easy to assemble and feels quite sturdy. And the cat (4mos) who is going through the wild man stage loves it.,true,Flight of Fancy Fiber Arts
5.0 out of 5 stars,Very pretty,"Reviewed in the United States on December 19, 2022",cats like it,true,Jean Kistler
3.0 out of 5 stars,Lasted 7 months,"Reviewed in the United States on December 18, 2022","Worked for awhile...purchased in May & then last night the one tower completely fell off. It's like the glue gave, completely cannot be fixed.",true,M
5.0 out of 5 stars,"Good quality, easy to assemble, cat-approved","Reviewed in the United States on December 17, 2022","Amazon Basics products are hit or miss, but I'm happy to report this Amazon Basic cat tree appears to be a solid purchase.  The product feels sturdy and was very easy to assemble.  Our cat immediately took to it, as you can see.  He enjoyed lying on the surfaces and scratching the sisal rope posts.",true,Victor Chen
4.0 out of 5 stars,Good Product,"Reviewed in the United States on December 17, 2022","Our cat uses this every day. Took a lot of abuse and wore pretty well before needing to be replaced after around 2 years. This is the second one we’ve purchased, and so far, so good.",true,David Zitello II
5.0 out of 5 stars,Cats love it!,"Reviewed in the United States on December 16, 2022",Happy with the purchaseEasy to put together and good valueCats are enjoying the new tree/stand,true,joy taylor
2.0 out of 5 stars,Not sturdy enough for fat cats,"Reviewed in the United States on December 15, 2022","The top pedestal snapped off after 4 months. The cat loved it though, but this is not sturdy at all",true,Angie Brown
5.0 out of 5 stars,Big tree at a bargain price!,"Reviewed in the United States on December 14, 2022","The cat couldn't even wait for me to finish putting this thing together to jump into it. The box it came in said +/-42 pounds and that sounds right because it was heavy when I brought it inside. I opened it and was happy to find all parts labeled. A bag of screws and Allen wrench were not but after flipping to the back of the booklet, I found the assembly directions and which screws went where. The instructions could be a bit clearer, but it wasn't terribly hard to put together. It was a gift so I didn't really know what the finished product would look like, so that may have been part of it. It seems sturdy and he's over the moon excited to check it out. I'll update should anything change, but so far, so good!",true,S. Schock
5.0 out of 5 stars,Great cat tree for medium sized cats,"Reviewed in the United States on December 13, 2022",No Media,true,Kittykatkay
4.0 out of 5 stars,Initially thought this was great,"Reviewed in the United States on December 12, 2022","This was pretty easy to assemble as each section was marked with a letter and appropriate screws with the exception of the ladder. However it was my dismay to discover one of the main posts was just made of cardboard with some twine wrapped around it! That is not going to hold up for a 12lb cat jumping up and down. I tried to resecure it with duct tape, but to no avail.",true,fast72
5.0 out of 5 stars,Great quality for the price,"Reviewed in the United States on December 10, 2022","She loves it, I looked for a little while before coming across this one. The price in the stores for this size are almost double the amount of this one. Awesome find.",true,Michelle Snow
1.0 out of 5 stars,"Poor fabric quality,","Reviewed in the United States on December 8, 2022","This is for a smaller cat! Poor quality fabric, construction on post not very good a lot of stables visible, no padding on perches and compartment. If your cat is over 10 - 12 #'s they will not fit in compartment or be able to lay on perches. Very disappointed picture on amazon deceptive!",true,Robert
4.0 out of 5 stars,Not that big.,"Reviewed in the United States on December 8, 2022",Not as big as I thought. Sturdy enough for 1 post. Should've got one that had 2 supporting posts.,true,shane
5.0 out of 5 stars,My cat LOVES his new play place.,"Reviewed in the United States on December 7, 2022",Very easy and quick to put together with no extra tools needed! Got it and assembled it within 10 mins and my cat loves it. Super great price also! Just as good(but better because of price) than similar products from the pet supply store!,true,Mandy Ehrig
2.0 out of 5 stars,"Sturdy, but carpet shreds/sheds !","Reviewed in the United States on December 4, 2022",Cats love it & sturdy construction.Carpet is soft & sheds/shreds quite a bit. A more durable carpet Is definitely needed for this cat tree.,true,Sherri
4.0 out of 5 stars,Pretty nice for the price,"Reviewed in the United States on December 4, 2022",This isn't as large or as stable as the one I had before but it's the exact same shape and I knew I'd be able to turn it into two different cat trees. My senior lady likes to have a large platform to eat on higher up than her sister so this does the job.,true,JYD
4.0 out of 5 stars,Good and bad,"Reviewed in the United States on November 29, 2022",There’s good things and not so good things about this. Our cat has loved it and still enjoys. It was fairly easy to set up. Has lots of play things and areas. It sheds easily and constantly having to vacuum carpet piling off floor from where it shed. It has become wobbly with continued use and my daughter’s cat no longer a kitten and becoming a chunky little monkey. The little feather thing lasted maybe a day and broke. Overall I am glad I purchased and if could do again I would still purchase.,true,Hope4usyet
4.0 out of 5 stars,Meets my expectations,"Reviewed in the United States on November 27, 2022","This was easy & quick to assemble (even with arthritic hands). the 2 triangle shape of platform were confusing. My kitten (7 pounds) loves to lounge, sleep and hang from this. If you have larger cats that enjoy using it as a jumping board it may need to be placed in a corner to avoid falling.",true,Alana Black
5.0 out of 5 stars,Your director and wood flooring will thank you!,"Reviewed in the United States on November 26, 2022","Our kittens are 5 months old, their mother is 1 1/2. All fit comfortably and are active all day on this.",true,AszCue
2.0 out of 5 stars,Too small,"Reviewed in the United States on November 26, 2022",Said it was for x large cats but is only for normal sized cats.,true,Carol Wolfe
1.0 out of 5 stars,Made of cardboard. Does not last.,"Reviewed in the United States on November 25, 2022",The first perch broke about 6 months after I purchased. I looked at material it was made from-cardboard. It is held in place by screws as you can see from picture. I knew it was only a matter of time before the 2nd one broke. It finally did.  Now it’s useless as I bought this so the cats can sleep and play on the perch. Don’t waste your money,true,Susan Choi
1.0 out of 5 stars,Missing screws and can’t assemble the item,"Reviewed in the United States on November 22, 2022",The diagram stated that there are 15 screws and the box had only 10,true,Haifa Zahroon
5.0 out of 5 stars,She loves it!,"Reviewed in the United States on November 21, 2022",Love the tree!,true,R. T.
5.0 out of 5 stars,So easy a 12 year old could put it together,"Reviewed in the United States on November 21, 2022","This was purchased for my parents cat. I wasn’t there to put it together so my niece, she’s 12, took it upon herself to put it together. Their cat loves it. She is on the chunky side and she fits in it fine.",true,Amanda
5.0 out of 5 stars,"Great value, bigger & better than expected.","Reviewed in the United States on November 19, 2022","The pieces were clearly labeled. I was able to assemble, by myself, while dinner was in the oven. My kitty loves the multi level platforms.",true,Jenn
5.0 out of 5 stars,Cats love it,"Reviewed in the United States on November 16, 2022",2 new kittens love it.,true,Penelope
1.0 out of 5 stars,Missing parts no way to get the missing screw either,"Reviewed in the United States on November 15, 2022",Missing a screw,true,TJ
4.0 out of 5 stars,My cat was in it before I even put it together,"Reviewed in the United States on November 15, 2022",No Media,true,Liz
4.0 out of 5 stars,"Amazon Basics Cat Tree, Beige X-Large Size, w/ladder","Reviewed in the United States on November 14, 2022","The height as advertised on page and on illustration is wrong. Its actual height is 49"". This is about 3"" short of the previous tree we were trying to match in height. So aggravating when no care is taken for accurate descriptions, which we see a lot here.",true,Ariadne
4.0 out of 5 stars,Cat loves it,"Reviewed in the United States on November 14, 2022","It's a couple of years old, we bought it when she was tiny. She fills up the top bunk. Just vacuum it and take care of it. The little side post stand is a bit weak we can't tighten it. Happy kitty😺 she is afraid of the ladder, she will not use it, she will jump over it up or down. She uses the scratch posts all the time as well.",true,Amazon Customer
5.0 out of 5 stars,Bigger than expected.,"Reviewed in the United States on November 14, 2022","Easy to put together. Ok material, partial break on one of the boards however it was not impacting to the design and I opted not to return it. I bought this for a small kitten and only time will tell if it holds through once he grows. So far the kitten is particular occupied with the design on this and spends time climbing and clawing the heck out it. I am a new cat owner, and don't know much about them, but this contraption is worth it.",true,Nare
5.0 out of 5 stars,Great for the price,"Reviewed in the United States on November 13, 2022",My cat loves this tree so much that he spends most of the days either sitting on it or climbing. Tho the only problem iv had with it is some of the bolts need to be tighten every now and then.,true,Dtkeve
1.0 out of 5 stars,My cat has destroyed it,"Reviewed in the United States on November 9, 2022",My cat has decided to sharpen her claws on the platforms instead of the posts and it is made of a very flimsy material that she's just SHREDDING to peices. Very sad.,true,Nancy
5.0 out of 5 stars,Very pleased with the product,"Reviewed in the United States on November 9, 2022",My cat loves it.,true,Judy Koester
5.0 out of 5 stars,Both cats love it,"Reviewed in the United States on November 8, 2022","Both cats love it- tge older cat likes the top level- the younger cat sleeps in the box level. They don't use the cute little ladder, but the did play with the dangly toys- its been a couple weeks- so they're over the toys now.",true,c. winters
5.0 out of 5 stars,Nice tree,"Reviewed in the United States on November 8, 2022",This is a stable tree with decent features my cats like. The instructions at detailed enough that my 9 year old followed them and put it together in about an hour. Good purchase.,true,Amazon Customer
3.0 out of 5 stars,Cat loves and was great but barely lasted a year,"Reviewed in the United States on November 6, 2022",Was great while it lasted but only had  a little over a year and already breaking,true,J
5.0 out of 5 stars,Very good cat tree,"Reviewed in the United States on November 3, 2022",My cat loves this. It is a perfect size for  my small house. I really love the scratching posts. They were the first I have been able to get my cat to use. The only down side is that dang ladder. Lol...I don't use it.,true,emily johnson
1.0 out of 5 stars,Not impressed,"Reviewed in the United States on November 1, 2022",No Media,true,T. Compton
1.0 out of 5 stars,"Extremely unstable, Broke on first perch, held together with staples.. 🤦","Reviewed in the United States on November 1, 2022",No Media,true,Alex pasqualone
4.0 out of 5 stars,Great cat tree - my cat doesn't use it at all though,"Reviewed in the United States on October 24, 2022","This was very easy to assemble. I like the materials and the fun design of it. The product could've been slightly more stable (the higher the cat goes, the less stable it is) but it's not wobbly either. Just watch out if your kitty has problems with surfaces that are less than rock solid. Now, as much as I like the product, my kitty has no interest in it. She checked it out on day 1 and never sat on it ever again.",true,Black Pearl
4.0 out of 5 stars,the balls are dangerous; leave them off,"Reviewed in the United States on October 23, 2022",No Media,true,J. David Beutel
5.0 out of 5 stars,My cat loves it !,"Reviewed in the United States on October 22, 2022","Great product for the price , would recommend for a 15 lb cat",true,S. Gherman
5.0 out of 5 stars,Love this cat tree and so does he!!!,"Reviewed in the United States on October 13, 2022",No Media,true,Aleessa Smith
5.0 out of 5 stars,The 'King' loves this because he can sit by the window and enjoy the sunshine.,"Reviewed in the United States on October 7, 2022",So easy to assemble! Each piece is labeled which makes it so simple to put together. Very sturdy!,true,Happy Customer
5.0 out of 5 stars,Very easy to assemble! So far my fur baby loves it.,"Reviewed in the United States on October 6, 2022",,true,Arianna Fiore
2.0 out of 5 stars,Don't Waste Your Time,"Reviewed in the United States on October 6, 2022","The platforms for my cats to sit on and enjoy instantly became loose and one has fallen off to the point it won't stay on anymore. The second platform is definitely on its last legs and going to break. If there's another cat tree to buy with sturdier pieces, go for that one.",true,Nicholas Brooks
5.0 out of 5 stars,all my kitties love it,"Reviewed in the United States on October 5, 2022",i believe this cat tower was modeled after a much more expensive brand of cat tree...it has all the goodies but not the price tag...plus the color was beautiful and complimented my carpet.,true,Rosemarie Strum
5.0 out of 5 stars,All Around Great Tower,"Reviewed in the United States on October 1, 2022","I was happy to purchase this during Prime Day at a great price.Tower was very easy to assemble.It is very sturdy considering the price. Are their better built towers at your local pet store? Sure, but they're also 5 times more expensive.Pictured is my almost 2 year old cat. Fitting in the bed is a little snug, but she loves it.The height of the tower is perfect for bird watching out the window.Both my cats love scratching the rope posts.Very happy with my purchase!",true,madeline audrey
5.0 out of 5 stars,Cat loves it,"Reviewed in the United States on September 30, 2022",Just what I needed for my active cat.  Perfect for her.  Very easy to assemble as well as being sturdy and stable,true,Teena Atkins
4.0 out of 5 stars,"Good, sturdy cat furniture.","Reviewed in the United States on September 29, 2022","For my two older cats, this was just right.  It was easy to assemble, and it tucks up nicely to that window they want to reach without taking up too much space.  The top perch, which is a bed, is quite small for a large cat.  It is only 12 inches in diameter, and since it is not padded like their window perch in another room, the cats ignore it.  I've ordered a round memory foam bar stool cover to line the bed, so that might attract some attention.  Overall, I think it is a good deal, and it is getting lots of use.",true,Songbird
5.0 out of 5 stars,Great! My cat loves to sleep at the top.,"Reviewed in the United States on September 28, 2022","Easy to assemble, my cat loves to scratch the posts and loves to sleep on the top, however cat doesn't go into the hole thing.",true,olga
5.0 out of 5 stars,Cat tolerates it,"Reviewed in the United States on September 26, 2022",In the pictures there was a cat but no cat was in the box,true,James S. Herring
2.0 out of 5 stars,Doesn’t last 6 months,"Reviewed in the United States on September 25, 2022","Did not last six months. Echo the 1 star review of “Cheryl” who went into a lot more detail. Bought ours in May ‘22, black plastic base which screws go into separated from the hard cardboard tower 5 months later. The tower is stapled and glued to the plastic but not secure, will start wobbling as cats jump on and off it.An extra star because the cats loved it.",true,Max Mikalonis
5.0 out of 5 stars,Happiest kitten,"Reviewed in the United States on September 24, 2022","Kitten ( we just rescued day before yesterday) was put in it the minute it was built and has yet to leave it. He loves it!  Tower feels sturdy and well built. If anything changes as he grows, I will post an update.",true,Druscilk
5.0 out of 5 stars,My cats Love it 😻,"Reviewed in the United States on September 23, 2022","This cat tree/tower is just what my cats needed and they Love it. I rescued 2 cats which turned into 5. I have 2 large cats and 3 baby kittens.They really enjoy their cat tree. It's sturdy, very easy to install and large enough for all of them.",true,scooby doo in LA
4.0 out of 5 stars,Kitty loves it,"Reviewed in the United States on September 23, 2022","My kitty loves it, especially because of the scratching posts on it. My only complaint is that it’s not stable at all even though i have weights on the bottom tier. needs to be bottom heavy",true,PuppyWuppy
5.0 out of 5 stars,my cat loves this thing!,"Reviewed in the United States on September 22, 2022","At about *half* the price of the big-box stores, I couldn't be happier.  Had it fully assembled in about 30 minutes.  It's super stable, even when my cat does his run-down-the-stairs-and-catapult-himself-on-to-the-tower thing.  Yes, it's that sturdy.  Highly recommended!",true,Ted
5.0 out of 5 stars,We Love It!,"Reviewed in the United States on September 20, 2022",This cat tree is perfect for my 2 cats. Not only is made out of real wood underneath the plush but it esd put together too.  Some people complain that itis wobbly but I have it on my hard floor and it is quite sturdy on my hard flooring.,true,Donald Smith
4.0 out of 5 stars,Nice,"Reviewed in the United States on September 18, 2022",Good,true,Elizabeth zamudio
5.0 out of 5 stars,Tiny cat palace to rule all cat palaces,"Reviewed in the United States on September 16, 2022","Built this in less than thirty minutes and the cats adore it. Sturdy with both pleasantly plump fur children on it (11lbs and 9lbs). The little house is a bit tiny, but loved none the less. Fantastic job Amazon. Tiny cat palace forever.",true,Virginia
5.0 out of 5 stars,Kitten loves the top perch,"Reviewed in the United States on September 15, 2022","Our cat loves this cat tree. Being an amazon basic item it arrived fast. I can see why other review has some issues with quality, not being a solid post and the tube being stapled to a plastic disk could cause problems with larger animals. So far our cat is very small and I'm sure it will last a while.",true,Patrick A
1.0 out of 5 stars,I don't know how to put it together because there's no directions,"Reviewed in the United States on September 14, 2022",It came without directions 🥴,true,Moriah Oliphant
5.0 out of 5 stars,We love this cat tree!,"Reviewed in the United States on September 13, 2022","Great item with a great price! My kitty loves it! It was easy to assemble, it’s sturdy, and it even looks nice in our house! Sometimes i feel like cat trees look gaudy, but this one doesn’t! Love it!",true,Yepperdepper
5.0 out of 5 stars,"Sturdy, Tall, Perfect!","Reviewed in the United States on September 13, 2022","I got this cat tree for two reasons 1) so my young cat (MN, 1yr3mos) could have someone other than my countertops to play on and 2) to give him a safe place to sleep/play that was out of reach of our foster puppy. To that end I needed something tall and sturdy but not too expensive because I am poor (rent and pet expenses can do that to a person).This cat tree is perfect. Tall enough to be out of reach of the dog, sturdy enough not to be knocked over, and it didn’t break the bank. As a bonus it was very simple to put together and comes with all the pieces and tools you’ll need.It is now used by two cats and they both love it! Highly recommend.",true,Jane Grey
5.0 out of 5 stars,Great for larger cats,"Reviewed in the United States on September 12, 2022","I really like how the pieces leading up to the top a larger than most other towers. I bought this 8 yrs ago and went out of my way to find this same one to replace it with since it’s so bigger cat friendly. I have a large and a small cat and the large cat is very picky and doesn’t climb much, but with this tower she feels safe and lays at the top regularly. Recommend for larger cats and the (I don’t climb too much) cat",true,James E Nelson
5.0 out of 5 stars,kitty is in love 💘,"Reviewed in the United States on September 12, 2022",perfect in every way! the perches are large and comfy for my cat. he enjoys lounging here or playing with the ball or rope.,true,kassie😸
5.0 out of 5 stars,Cute & sturdy!,"Reviewed in the United States on September 11, 2022",No Media,true,Kylee Allison
3.0 out of 5 stars,Very wobblie,"Reviewed in the United States on September 11, 2022",I did not expect this cat tower to be this unstable. My 8lb cat is terrified of it and won't go on herself. It is now a decorative clothing dryer.,true,Kindle Customer
2.0 out of 5 stars,Came apart after a month,"Reviewed in the United States on September 10, 2022",The bottom part of one of the stands fell apart and now I can’t return it. Both stands were really unstable from the beginning and my tiny kitten would cause it to wobble just by walking around on it. It was tightened all the way.,true,Newman
5.0 out of 5 stars,Awesome!,"Reviewed in the United States on September 9, 2022",Great quality! The cats love it.,true,Genilma Lopez
3.0 out of 5 stars,Top platform is too small,"Reviewed in the United States on September 8, 2022",My cat only weighs 8 lbs and top platform area is too small for her to take a nap. I guess I should have paid better attention to the dimensions.,true,JEC1
5.0 out of 5 stars,Great Cat Tree!,"Reviewed in the United States on September 7, 2022","We'd been shopping for some time at the local pet store for a larger cat tree but not finding one that seemed to fit the needs of our two cats. They were also extremely expensive. After extensive shopping on Amazon and other websites I settled on this tree, and I'm so glad I did. The price was probably half of what we were looking at in the pet store, looks much better, and it's large enough and strong enough to withstand our cats jumping on and off of it. I was concerned that it might be too large for our living room but it worked out perfectly. The cats are crazy about it. It might require some checking and tightening from time to time. Very highly recommended!",true,Karen Cooper
5.0 out of 5 stars,Does the job. Kittie is happy. Here's a tip...,"Reviewed in the United States on September 6, 2022","TIP:  To stablize the cat tree against the wall, I attached a small ""L"" braket under the top level. Voilà!",true,Frank Churriana
5.0 out of 5 stars,My cat loves it,"Reviewed in the United States on September 2, 2022",My cat mochi loves it he goes to the very top and sleeps all day long.,true,Crystal
5.0 out of 5 stars,Great quality,"Reviewed in the United States on August 30, 2022",I loved how simple the assembly was and how the fabric feels! It’s not cheap looking in person or wobbly ! I just overall love it for me a first time cat owner and buying a big purchase for our 6 month old kitten name Ollie,true,Tasia
5.0 out of 5 stars,Great product!,"Reviewed in the United States on August 28, 2022",Amazing quality for the cost. My cat loves it and a few months in it is still holding up well.,true,Jefferson Taylor
5.0 out of 5 stars,Cat likes it we'll enough,"Reviewed in the United States on August 27, 2022","It's probably just a cat thing. It was easy to assemble, I think the initial carpet smell put him off for a while. I sprinkled catnip in a couple areas to help. Towers won't hold cats weight and have fallen off. I guess he got 6 months out of it.",true,Amazon Customer
4.0 out of 5 stars,Good Value,"Reviewed in the United States on August 26, 2022",This went together easily and provides plenty of stability for a very active kitten.,true,MPO
3.0 out of 5 stars,Not for a long use,"Reviewed in the United States on August 24, 2022",In 6 months tree lost sturdiness…we tried to fix it but they use small staples and it broke.Not recommend.,true,Tania P.
2.0 out of 5 stars,Platforms broken in less than a year and now my cat won’t trust it enough to continue to use!,"Reviewed in the United States on August 22, 2022",The platforms broke and will not stay secure. My cat will no longer use before they do not trust it.  Lasted less than a year so very disappointed.,true,Amazon user
2.0 out of 5 stars,Broken after 4 months,"Reviewed in the United States on August 21, 2022",My cats loved this tree while it lasted. The post holding the larger bed broke off after 4 months of them jumping into it. I managed to glue the post back on but it will no longer hold the bed.,true,Greg
1.0 out of 5 stars,"Not stable, poor quality. Difficult to assemble, parts fo not align. Not stable","Reviewed in the United States on August 21, 2022",Returned.,true,Sharan57
4.0 out of 5 stars,Our sweet pea loves it.,"Reviewed in the United States on August 20, 2022",I actually would recommend this tower for the price and for the entertainment it provides for our newest addition to our family.  I have placed her food bowl on the first platform tower and her water bowl on the second platform tower and she has plenty of room to play and move around  and she can have her own space at feeding times from the other two dogs.  I would highly recommend this tower and will consider purchasing more for other rooms.,true,travis
5.0 out of 5 stars,Cat loves it!,"Reviewed in the United States on August 19, 2022",My cat sleeps on the top. She loves it.,true,Barbara Edwards
5.0 out of 5 stars,Cat who never likes what I get him LOVES this,"Reviewed in the United States on August 14, 2022",My cat will not play with toys I buy him. He has a superiority complex and much prefers the boxes his gifts come in. But this? He lays in it and plays on it ALL DAY. He wants to scratch the posts even as we built it. 100% worth it!,true,Mossy
1.0 out of 5 stars,Broke after 7 months,"Reviewed in the United States on August 14, 2022","Assembly was easy, my kitten was using it pretty regularly however one the branches broke just after 6/7 months of usage,  I am quite disappointed.",true,Samuel L.
3.0 out of 5 stars,Top part broken,"Reviewed in the United States on August 12, 2022",No Media,true,czs
5.0 out of 5 stars,My cats love it like it very much,"Reviewed in the United States on August 12, 2022","My cats lay on it and take naps, plus they like the little ball",true,Yvonne miller
5.0 out of 5 stars,Cat loves the tree,"Reviewed in the United States on August 11, 2022",Easy to assemble. Tall enough for my home windows. Cat has found favor with the shelf with the rimmed level.,true,j cunningham
5.0 out of 5 stars,make sure everythings is tight !,"Reviewed in the United States on August 10, 2022",The cat love its !,true,DG
5.0 out of 5 stars,Cat loves it,"Reviewed in the United States on August 8, 2022",Very sturdy my cat sleeps in it and washing parts,true,Amazon Customer
5.0 out of 5 stars,Works great,"Reviewed in the United States on August 7, 2022",Cats love it. Works great. They sleep in it every night. Very sturdy (the one with the hammock),true,eternal
1.0 out of 5 stars,Don't expect it to last even a day.,"Reviewed in the United States on August 3, 2022","To its credit, the cats enjoy theae. However, this photo shows what it looked like after *less than 24 hours* and after I reattached the string after they pulled it out of the socket used to attach it to the spring.Not worth the price.",true,G. T. Blackwell
1.0 out of 5 stars,Not sturdy or secure - very disappointing,"Reviewed in the United States on August 3, 2022","I was hopeful for this product, but it really let me down. I got barely a months use out of it, and it broke. All of the pieces screwed together tightly (I could not get them any tighter) but the top two perches wobbled back and forth terribly. I bought this for my other 3 legged cat in hopes that it would be a safer option for him to get up and down, but he won't use it because he already biffed it getting off the tower. I tried extra washers, fixing it myself, etc. Overall, everything else about this product is nice but its not stable, safe, or well manufactured. It's cheaply made. Disappointed. Will be asking for my money back.",true,Kaitlyn
5.0 out of 5 stars,We are having FUN!!!,"Reviewed in the United States on August 3, 2022",No Media,true,ROYSMOM
5.0 out of 5 stars,Cat are meowing.,"Reviewed in the United States on August 3, 2022",The cats are happy.,true,Amazon Customer
5.0 out of 5 stars,Tall and firm,"Reviewed in the United States on August 2, 2022",very easy to assemble and Tall  for multiple cats if needed. And its really soft too,true,lizzie88
1.0 out of 5 stars,Didn't last,"Reviewed in the United States on July 30, 2022",I've had it for two months and both supports have failed.  Not worth the cost at all.,true,Robert
5.0 out of 5 stars,Easy to assemble,"Reviewed in the United States on July 30, 2022",This was very easy to assemble. I'm a 75 year old and had no difficulties at all.  It's very sturdy and feel like it will be stable. I would like if a little more plush but my kitten doesn't seem to mind. She was using as I was assembling. It recommends a corner but I have it placed near a window and seems ok there. This is perfect for her as she's very petite. Might not be the best for a larger cat. This is a tree for her to watch out the window from a bedroom. Her primary tree is in the living room. Overall I'm very pleased with it,true,AZ FAN
2.0 out of 5 stars,"Kitten tree, not cat tree","Reviewed in the United States on July 25, 2022","This wobbly thing worked for our kitten while he was small, but not now. The two platforms that are only supported by one post each can't be tightened enough to keep them from wobbling. Even if they didn't wobble, the platforms are now too small for our now nine month old kitty. It can't be snugged up into a corner because the platforms extend beyond the triangular base.",true,Mashii
