,Name,Title,Body,Stars,Time,Vine Voice
51,TAHK,Great nitrile gloves,My preference is SoftScrub nitrile. When those were unavailable I bought this Comfy brand. The box takes up more room but the gloves work great for my kitchen needs and the price is good. I was thankful they were available for my reorder.,5.0,"Reviewed in the United States on January 5, 2023",
52,new jerusalemmissionary baptist church,Fits large hands well,Fits large hands well,5.0,"Reviewed in the United States on January 30, 2023",
53,Roland,Excellent product,Highly recommended.,5.0,"Reviewed in the United States on February 3, 2023",
54,Georgetta Paggett,Great value great price.,Gardening.,4.0,"Reviewed in the United States on January 16, 2023",
55,Sue,Sturdy,Nice disposable gloves at a good price.,5.0,"Reviewed in the United States on January 30, 2023",
56,Linda L. Stanley,Great gloves,"Great gloves for the price. They only last through one use but hey, there disposable.",5.0,"Reviewed in the United States on January 23, 2023",
57,Gordon Briggs,Good price,Good price.  Fast delivery,4.0,"Reviewed in the United States on January 13, 2023",
58,Brenda Phillips,Great gloves,Good thickness. Comfortable. Fast shipping.,5.0,"Reviewed in the United States on January 27, 2023",
59,BikePope,Short wrist,Large fits like a standard large. Cuff is a little short for my liking. Thick enough they don’t feel as if the would tear.,4.0,"Reviewed in the United States on December 25, 2022",
60,jim k. poole,Comfortable and just the right size,Use for hobby and health quite comfortable,5.0,"Reviewed in the United States 🇺🇸 on January 20, 2023",
61,Bridget Backlin,Okay for the price. Just not very durable,The gloves are not very durable but price is cheap,5.0,"Reviewed in the United States 🇺🇸 on January 17, 2023",
62,DONNA THURNES,Good product!,Giod product,5.0,"Reviewed in the United States 🇺🇸 on January 21, 2023",
63,A. maxwell,They fit well and are easy to take off,I would recommend these disposable gloves.,5.0,"Reviewed in the United States 🇺🇸 on January 17, 2023",
64,LBakes,Perfect for my needs,Arrived on time and perfect for my needs,4.0,"Reviewed in the United States 🇺🇸 on December 26, 2022",
65,Amazon Customer,Perfect for spray tan use.,Perfect!,4.0,"Reviewed in the United States 🇺🇸 on December 27, 2022",
66,BKB ,The fit was unexpectedly tight.,"The medium size was a bit tight compared to previous experience, however it doesn’t impact the performance of the glove. The gloves hold up well to moderately aggressive use. The price point is a good value.",4.0,"Reviewed in the United States 🇺🇸 on November 28, 2022",
67,Denise DAmbra,Fit & comfort are good. Good price,A little thinner than I'm use to.,4.0,"Reviewed in the United States 🇺🇸 on December 22, 2022",
68,Cori ,Handy for messy jobs,"These nitrile gloves are handy for tasks like painting, handling a raw chicken/turkey, etc.  I find myself reaching for them time and time again.  They are as durable as any other disposal gloves out there.",4.0,"Reviewed in the United States 🇺🇸 on November 27, 2022",
69,TAG,Great product,Great price and product! Would highly recommend!,5.0,"Reviewed in the United States 🇺🇸 on January 14, 2023",
70,Amazon Customer,Good gloves,Good gloves,4.0,"Reviewed in the United States on December 22, 2022",
71,Brittany K.,I have already purchased more since this order,I have already purchased more since this order,5.0,"Reviewed in the United States on January 11, 2023",
72,Nadine Parker,Easy to put on and fit well,I had COVID and used them for that,5.0,"Reviewed in the United States on January 9, 2023",
73,barrett,excellent gloves,fit well and serve the purpose of cleaning up after cats and dogs,5.0,"Reviewed in the United States on January 5, 2023",
74,Gene S.,"4mil thick gloves,  Medium size can also fit Large hand","These 4mil thick gloves stretch without breaking like inferior thin ""cheap"" gloves.But they are priced to provide a great value for the money.  I purchased the Medium size due to the requests (or demands :-) ) of the females in our household.  Per Comfy''s size guide, the Medium gloves can also fit many Large hands. So I purchased only Mediums and tried them on my Large hands. They did fit and covered the palm of my hand extending about an inch past the edge. This is okay for my use and saves additional money buying only one size. But if you are using liquids (cleaning, washing, mopping, etc.) you may want to buy the Large gloves also. That will extend more past the edge of your hand, lowering the possibility of getting liquids under the glove. Either way, the gloves are durable and comfortable to wear for extended periods of time.",5.0,"Reviewed in the United States on September 23, 2022",
75,Michael Wiggins,Great glove with competitive price,Nitrile gloves work great. Competitive pricing compared to Walmart or other sellers online. Gives you everything you can expect from a glove.,5.0,"Reviewed in the United States on December 29, 2022",
76,Jon Sutter,Work well,"Fit good, pretty comfortable",4.0,"Reviewed in the United States on December 15, 2022",
77,Jean S,GREAT FOR THE COST!,"The media could not be loaded.
                



 The durability is great, I’ve bought them a few times already. They fit comfortably, great for cleaning around the house, and keeping the hands clean when planting indoors plants, and other messes!",5.0,"Reviewed in the United States on January 23, 2023",
78,Sheree Evans,Gloves,About 10 gloves per box are split and unusable so I rate as a 4 star,4.0,"Reviewed in the United States on December 4, 2022",
79,Scarlet OharaSusan,Great,Great product,5.0,"Reviewed in the United States on January 10, 2023",
80,Richard L. Keeler,Perfect fit and strong!,Thanks Amazon. Can’t find these in the stores. I need the large. Stores have one size fits “most.”  Too small for me. I need large.,5.0,"Reviewed in the United States 🇺🇸 on December 23, 2022",
81,JUDITH,These gloves are thinner than the ones I previously ordered.,These gloves were thinner than the ones I had previously purchased.,4.0,"Reviewed in the United States 🇺🇸 on December 8, 2022",
82,Donna,Gloves for many uses,These gloves come in handy when working in the kitchen or outdoors. Easy on and easy off. Durable to handle many tasks.,5.0,"Reviewed in the United States 🇺🇸 on December 26, 2022",
83,Chris,Nice gloves,I like these gloves since they have a nice stretch to them and are not too thick.  They are definitely nitrile.  The only reason I did not give them a 5 star rating is because the cuffs are a lot shorter than they appear in the photo and water gets into the glove quite easily.,4.0,"Reviewed in the United States 🇺🇸 on October 24, 2022",
84,vidalia,Works for Healthcare,"When our family member had to hire private health aides, we had to provide appropriate accoutrements.  We tried various brands. This one worked the best for the workers.",5.0,"Reviewed in the United States 🇺🇸 on December 20, 2022",
85,Amazon Customer,Get what you pay for,For some cheap gloves for around the house cleaning  these work just fine for me.,4.0,"Reviewed in the United States 🇺🇸 on November 27, 2022",
86,Ale,They fit  very well!,I am using them to clean my  house and wash my dishes,5.0,"Reviewed in the United States 🇺🇸 on December 29, 2022",
87,RacheL Pete,Durability.,I used the gloves for work.,5.0,"Reviewed in the United States 🇺🇸 on January 4, 2023",
88,karenruth,Love these gloves,Love the fit and durability,5.0,"Reviewed in the United States 🇺🇸 on January 3, 2023",
89,John Q. Publik,Very satisfying precious,Very easy to put on and take off. Used for personal care of elderly parent.,5.0,"Reviewed in the United States 🇺🇸 on December 28, 2022",
90,Rick,Best price,they work great!!  no latex/powder,5.0,"Reviewed in the United States 🇺🇸 on January 1, 2023",
91,audrey,They are great . Love them!,I use for cleaning and in kitchen to handle meat .,5.0,"Reviewed in the United States 🇺🇸 on December 26, 2022",
92,Amazon Customer,They do not tear easily.,We have tried a few different brands of gloves and these work best for us as newbies to wearing gloves for wound care.,5.0,"Reviewed in the United States 🇺🇸 on December 19, 2022",
93,Emily,They do not rip while on use. The stretch is perfect. I buy them all the time.,"Durability, I use one pair to perform various tasks. They are comfortable and very affordable",5.0,"Reviewed in the United States 🇺🇸 on December 22, 2022",
94,VMac55,Great product!,Price.,4.0,"Reviewed in the United States 🇺🇸 on December 1, 2022",
95,Debra Jackson,Fit!👍🏼,The fit (small) is perfect!,5.0,"Reviewed in the United States 🇺🇸 on December 28, 2022",
96,Trish,Multi-purpose gloves,Great buy for the money.  They are powderfree and I use them for baking.,5.0,"Reviewed in the United States 🇺🇸 on December 21, 2022",
97,Elwood Belzer,Gloves,Thye do the job they were purchased for.,5.0,"Reviewed in the United States 🇺🇸 on December 26, 2022",
98,Terry T.,They fit well.,They fit well,5.0,"Reviewed in the United States 🇺🇸 on December 29, 2022",
99,Roy Rucks jr ,Duality,Work for what I needed them for.,4.0,"Reviewed in the United States 🇺🇸 on November 13, 2022",
100,Wanda Clarke,Great buy,Worth the money,5.0,"Reviewed in the United States 🇺🇸 on December 26, 2022",
101,Sandra K Howlett,Very easy to put on,Used the gloves to clean husband's wound after leg surgery,5.0,"Reviewed in the United States 🇺🇸 on December 22, 2022",
102,Alejandra sedano,Bien,Bien,5.0,"Reviewed in the United States 🇺🇸 on December 27, 2022",
103,MsweetM,Great price but….,"I buy gloves often but they have become so expensive and that’s why I thought these would be perfect.  I ordered two packs to have extra when needed, price is great but the gloves are extremely easy to rip because they aren’t made out of a thicker material or they don’t have a thicker coating.  I probably will buy something different next time but its good to have an option as backup.",3.0,"Reviewed in the United States 🇺🇸 on January 12, 2023",
104,DONNA DENISE MACMILLAN,Disposable,Good,5.0,"Reviewed in the United States 🇺🇸 on December 26, 2022",
105,R. Ching,only 3mm thickness,"False advertisement.  These gloves only has 3mm thickness, which is thin and easily torn.",3.0,"Reviewed in the United States 🇺🇸 on February 16, 2023",
106,Nancy Ulizio,Keeps hand dry,I use them for cleaning - they work well,4.0,"Reviewed in the United States 🇺🇸 on November 1, 2022",
107,Sdfjldlll,Value gloves,"The price of these was really good compared with some others. They go on and pull off well without tearing. They are fairly thin, so not meant for heavy duty work, but they are good for light cleaning and pouring resin.",4.0,"Reviewed in the United States 🇺🇸 on September 22, 2022",
108,Amazon Customer,Good,I use these gloves to wipe my paralyzed husband's behind.,5.0,"Reviewed in the United States 🇺🇸 on December 19, 2022",
109,Norman R McConnell,These are excellent!,"I use these all the time now in the kitchen, especially when working with meats. Mixing meatloaf and meatballs is so much better when wearing them - clean hands and nothing stuck under my fingernails. Handling fish and chicken is no longer a worry about picking up contaminates, and cleanup is much easier too. I like both the snug fit and their flexibility, and the cost is very affordable. I'm on my 3rd box and plan to keep using them.",5.0,"Reviewed in the United States 🇺🇸 on October 14, 2022",
110,lv2wlk,Great deal and excellent fit!,These are very good quality gloves and I'm really glad I went with the medium size. I have very small hands but thankfully I read the reviews and decided it was best to order a medium. Great fit!,5.0,"Reviewed in the United States 🇺🇸 on November 21, 2022",
111,Kindle Customer,Awesome,"These gloves are great. They are very sturdy and they fit like a ""glove"" 🤣",5.0,"Reviewed in the United States 🇺🇸 on December 12, 2022",
112,Amazon Customer,Nitrile gloves,Need for work,5.0,"Reviewed in the United States 🇺🇸 on December 20, 2022",
113,James OConnell,Good Product,We needed different sizes. This did the trick.,5.0,"Reviewed in the United States 🇺🇸 on December 15, 2022",
114,Marylou Calderon Jimenez,Too light,These are a little too light for what I use them for. I need them to be stronger.,4.0,"Reviewed in the United States 🇺🇸 on October 8, 2022",
115,B.,Pretty good,"Good gloves and a great value too, they aren't too thin or thick.",4.0,"Reviewed in the United States 🇺🇸 on October 6, 2022",
116,B. Hunkeler,Very satisfied!,"I know these are just gloves, but I use them daily in my clean up routines with my dogs and cats.  The fit is perfect for me as I have large hands.  They are lightweight and comfortable and have yet to break on me.  I will be buying these again when the time comes.",5.0,"Reviewed in the United States 🇺🇸 on October 30, 2022",VINE VOICE
117,dnabare,Reusable,These are strong enough to reuse. very handy to have disposable gloves for dirty jobs.,5.0,"Reviewed in the United States 🇺🇸 on December 8, 2022",
118,Jay L.,Size is true to fit,Good value.,5.0,"Reviewed in the United States 🇺🇸 on December 19, 2022",
119,Windy Blanchard,Love these!,I love this product! I use them for multiple purposes.....and they never let me down!Durable and comfortable 😌,5.0,"Reviewed in the United States 🇺🇸 on December 5, 2022",
120,Debra,Great deal,Didn’t think I would like this since I have always used latex but this was priced so reasonably I decided to try it and it was well worth the money. You just have to be very careful putting them on,5.0,"Reviewed in the United States 🇺🇸 on November 8, 2022",
121,Arlene Morgan,DURABLEAND COMFORTABLE,the gloves are both comfortable and duraBLE,5.0,"Reviewed in the United States 🇺🇸 on December 12, 2022",
122,Tammy Cochran,Valuable,It's durable,5.0,"Reviewed in the United States 🇺🇸 on December 16, 2022",
123,Judy,Works great,The gloves are well fitting durable and work great,5.0,"Reviewed in the United States 🇺🇸 on December 9, 2022",
124,Spicey,Excellent,I like it,5.0,"Reviewed in the United States 🇺🇸 on December 17, 2022",
125,guillermo Hidalgo,Buen servicio llego en tiempo,"aunque otras veces se han equivocado de producto,este llego bien",5.0,"Reviewed in the United States 🇺🇸 on December 7, 2022",
126,C Juice ,It was very good.,This product is for sanitary purposes,5.0,"Reviewed in the United States 🇺🇸 on December 12, 2022",
127,JaneAire,Inexpensive but good quality,"Very good value for the money. Good durability,  will order again.",5.0,"Reviewed in the United States 🇺🇸 on December 4, 2022",
128,Andrew,Great gloves for just about everything,"Originally got these gloves for handling food when barbecuing, but now seem to use them all over the house for just about everything: cleaning, handling raw meat, handling greasy stuff, or handling anything gross or sticky or what not.These are very durable, have yet to rip on their own. (did cut quite cleanly when I ran a chefs knife through my finger, but that's not important)",5.0,"Reviewed in the United States 🇺🇸 on October 3, 2022",
129,Amazon Customer,Great product,Great quality for price. Geta the job done. The large is a bit big compared to other large gloves I have ordered.,5.0,"Reviewed in the United States 🇺🇸 on November 21, 2022",
130,chad loeffler,Ok,Ok,4.0,"Reviewed in the United States on October 4, 2022",
131,Marcus Barnett,Great gloves. Even better price 7,"Use these gloves, working on my cars and other things that I wish to keep my hands clean from very durable for the price. Can't beat them",5.0,"Reviewed in the United States on November 18, 2022",
132,Cyndi M. Klorer,Great fitting gloves!,I’m an RN and take care of my mother who needs 24-7 care. These disposable gloves fit nicely and are well priced! Thank you!,5.0,"Reviewed in the United States on November 15, 2022",
133,Rica Latham,Gloves,For the money they do what they are suppose to do the only thing is that they break within a few hours of use but it is still worth the it i work for a grocery store 6-8 hrs a day so I change they about every 3 hours they work for me thanks,4.0,"Reviewed in the United States on July 11, 2022",
134,DG,There 3 size,Keep my hand clean,5.0,"Reviewed in the United States on December 6, 2022",
135,Scheila Belancourt,It’s soft and comfortable,"Cleaning, washing dishes",4.0,"Reviewed in the United States on September 23, 2022",
136,Andrea Turner,Serves it's puporse,Great value,4.0,"Reviewed in the United States on September 23, 2022",
137,Joseph B. Cohen,Functional and comfortable,"The gloves slip on easily, sense of touch is very good, and they stay intact with rough use.",5.0,"Reviewed in the United States on November 19, 2022",
138,JW,Just Okay,"The gloves fit well, but are extremely thin.  Would not recommend them for anything other than very light use.  Overall, you're getting what you paid for, nothing more.  Personally want something more substantial, so I probably won't purchase them again.  Even if I have to pay more.",3.0,"Reviewed in the United States on December 10, 2022",
139,Krista Higdon,They’re fine,These are a little roomier than the last gloves I purchased. I’m not complaining.,4.0,"Reviewed in the United States on September 7, 2022",
140,Bryan wood,Perfect for cooking,These hold up while I’m preparing my meats completely satisfied,5.0,"Reviewed in the United States 🇺🇸 on November 24, 2022",
141,Connie Booe,Very good gloves for the price and the seller was prompt.,This proxy is true to fit. Good gloves.,5.0,"Reviewed in the United States 🇺🇸 on November 28, 2022",
142,RA,good gloves,the gloves are as described. it shipped super quick,5.0,"Reviewed in the United States 🇺🇸 on November 24, 2022",
143,Ginny,great gloves,Just what i've been looking for. Fit my hands just right. Great for hand washing dishes and general cleaning,5.0,"Reviewed in the United States 🇺🇸 on November 13, 2022",
144,Amazon Customer,They fit great,I got way more gloves for the money compared to our local grocery store.,5.0,"Reviewed in the United States 🇺🇸 on November 19, 2022",
145,Alex Movchan,Comfortable gloves,Very comfortable to work with these gloves,5.0,"Reviewed in the United States 🇺🇸 on November 26, 2022",
146,joniisagem,They work,They  work,5.0,"Reviewed in the United States 🇺🇸 on December 1, 2022",
147,Kindle Customer,Their true size!,We use them mostly to prep bbq and they’re perfect!,5.0,"Reviewed in the United States 🇺🇸 on November 20, 2022",
148,Linda,Runs small,"The price was very reasonable so I ordered, but as in most things, you get what you pay for. First, these gloves run small. I ordered my usual ""medium"" size, and these fit more like a size ""small"" so if you order, I'd recommend going up a size from your normal. They are also a little thinner and shorter than other brands, but they are fine for my needs. I'm not sure how they would hold up for tough jobs. Overall, these gloves are pretty good for the price and I would probably order again.",4.0,"Reviewed in the United States 🇺🇸 on April 26, 2022",
149,ruben macias,they works for the job,they were ok,4.0,"Reviewed in the United States 🇺🇸 on September 12, 2022",
150,K. Diemer,Great Bargain,Use them for cleaning and making meatloaf!,5.0,"Reviewed in the United States on November 23, 2022",
151,Ferdy Roth,A,A,5.0,"Reviewed in the United States on December 4, 2022",
152,Ron,They work.,They work but are very thin and easily ripped.,4.0,"Reviewed in the United States on August 29, 2022",
153,Hickory,"for a small WOMEN'S GLOVE, they fit well!","These gloves fit my hands much better than the ones I had previously purchased.  They have not ripped, go further up my arm past my wrist, and the dimensions fit my hand better. Since I bought a box of 200, I think they will last a long time.",5.0,"Reviewed in the United States on September 28, 2022",
154,Bookworm,Seem a little thin,Gloves are easy to tear,4.0,"Reviewed in the United States on August 31, 2022",
155,Marco baltazar,La calidad es aceptable  !!,"Excelente  para las tareas cotidianas del hogar  viene en la medida perfecta al tamaño que haces tu pedido , se habla mucho de que tienen mal olor , es correcto al habría la caja ,despiden un olor no muy agradable,  pero solo es temporal  , porque  en 2 días el aroma desaparece  , dando paso a su aroma original  !!",4.0,"Reviewed in the United States on May 30, 2022",
156,Daniel Le,Good deal,I use gloves for cleaning purposes.,5.0,"Reviewed in the United States on November 25, 2022",
157,nathoeun Chiep,Affordable,All good.,4.0,"Reviewed in the United States on September 4, 2022",
158,Emma Fields,"Good gloves,  good price.",Good gloves at a good price.,4.0,"Reviewed in the United States on August 28, 2022",
159,Ronda,Serves the purpose I bought them for,This was a good value and they hold up well for cleaning,4.0,"Reviewed in the United States on August 15, 2022",
160,Edward Wolfram,good gloves at a decent price,good gloves for cleaning or cooking.,5.0,"Reviewed in the United States 🇺🇸 on November 20, 2022",
161,Pat,On time. Good product,Liked everything. Gloves are used for homehealth care,5.0,"Reviewed in the United States 🇺🇸 on November 13, 2022",
162,Maryetta Thomas,Excellent,To handle raw meat and to clean,5.0,"Reviewed in the United States 🇺🇸 on November 15, 2022",
163,Mia Alexandra,Will buy again ☺️,Perfect for all kinds of things. I’ve used them for light yard work & cleaning around the house.,5.0,"Reviewed in the United States 🇺🇸 on October 31, 2022",
164,Amazon Customer,Not great,"These are not very sturdy, will not work for heavy duty jobs because they are thin and cheap. I see why they were so inexpensive, you get what you pay for.",3.0,"Reviewed in the United States 🇺🇸 on November 22, 2022",
165,Arlene Cope,Excellent fit,"Perfect fit! Allows for cleaning, etc as if you weren't wearing anything but you're protected from germs. Extremely durable.",5.0,"Reviewed in the United States 🇺🇸 on October 29, 2022",
166,adriana sanchez,Duran poco,Mmm 🤨 no son tan buenos pero si ayudan solo que se rompen con mucha facilidad asegúrate de perdir tu correcta talla,3.0,"Reviewed in the United States 🇺🇸 on December 7, 2022",
167,Inna,Excellent gloves,Great to have in the kitchen!  I use them for mixing Hamburger meat. Plenty strong.,5.0,"Reviewed in the United States 🇺🇸 on November 3, 2022",
168,Mommasita,Just my size!,"Having smaller hands can be a problem when caring for a loved one, especially when gloves are way too big. These fit perfectly and allow me to do what I need to do without extra glove length getting in the way.  They’re also super for handling meat or other food items when cooking.",5.0,"Reviewed in the United States 🇺🇸 on August 27, 2022",
169,Amazon Customer,It fit properly,They fit but a little snug for size,4.0,"Reviewed in the United States 🇺🇸 on August 7, 2022",
170,Amazon Customer,The box containing the gloves may be delivered squashed.,The box holding the gloves was squashed.,4.0,"Reviewed in the United States 🇺🇸 on August 6, 2022",
171,Beach House DIY Guy,Just OK,"These work OK for really light work, but tear relatively easy.  In fact, I have torn some just putting them on. I will try another brand next time.",3.0,"Reviewed in the United States 🇺🇸 on November 19, 2022",
172,Catherine Lopresti,rips very easily,"These rip very easily. In my case, it is ok. I only need to apply topical medicine to my cat daily. So, I only need to cut a finger off and put on my finger to apply to my cat's ear. If you are going to need to put the whole glove on, they rip easily, so beware.",3.0,"Reviewed in the United States 🇺🇸 on October 24, 2022",
173,Darrel,A glove is mostly a glove,They are sized and cheaper than Walmart's one size fits most.,5.0,"Reviewed in the United States 🇺🇸 on October 27, 2022",
174,Kandyce,"Good enough for home, but leaves strong after-smell on hands","The thickness of these gloves is on the thinner side (~3mil). Good enough for general house cleaning. They get the job done without tearing.They run on the smaller side - I have relatively small, thin hands and the mediums fit well.Main dislike is the odor from the gloves’ material lingers on my skin. I have to wash my hands 2x in order to get rid of the smell.",4.0,"Reviewed in the United States 🇺🇸 on April 10, 2022",
175,Barbara Paige,Good vaule,Good fit,5.0,"Reviewed in the United States 🇺🇸 on November 14, 2022",
