,Name,Title,Body,Stars,Time,Vine Voice
30,LynnM,Love it,Best shoe organizer I’ve bought.##,5.0,"Reviewed in the United States on September 11, 2021",
31,MoMo,Easy to put together.,Very sturdy!##,4.0,"Reviewed in the United States on June 25, 2021",
32,Alexandra Rojas,El artículo me llego con dos fallas de fábrica no pegado el plástico no estoy conforme,Muy bonito cómodo pero me vino mal con falla  de fábrica envío foto##,2.0,"Reviewed in the United States on June 9, 2021",
33,catahstrophic,Sleek shoe storage,"I like this shoe storage a lot. I had difficulty setting it up because (per usual) I didn't read the directions fully so I had to back track. Once I got it together and got the shoes put in, I'm very pleased. Read all the directions first!##",5.0,"Reviewed in the United States on January 12, 2021",
34,Aurelia Dominguez,Not good,Not a good product I bought one and it’s coming apart it’s all literal plastic and when all put together it doesn’t support heavy shoes the little windows don’t stay put would i would not recommend:##,1.0,"Reviewed in the United States on August 19, 2022",
35,D. E. Reagan,Good For Living On The Edge,"It was past time to replace my dollar store chef knife with a decent set with a bread knife and no steak knives. I first looked at Wüsthof as I always liked that brand, but never owned any. I used a borrowed paring knife for a while and was impressed with the quality. My line cooking time is over and though I would have liked to have a set of forged Wüsthofs, the price was too much for occasional use. My favorite chef knife was a 10"" wide Victorinox/Forschner until it got stolen. I replaced it with an 8"" version, but it was not wide and felt very different. Still my first choice for stamped high-carbon stainless steel blades. Again, the price for a set was a bit high for use once in a while.I spotted the Amazon Basics 9-Piece Premium Kitchen Knife Block Set. Wait. A forged high carbon stainless steel knife set for that price? I read through all the reviews even the one with the picture of the broken knife, the set seems to be a good buy. Certainly better than a dollar-store knife and a few dollars more than an empty knife block.While I haven't given them a good workout on food yet, I can tell they are very good given the price. I would have liked the chef's knife to be a bit wider, but I can live with it as is. I tried the index finger and thumb holding test on the chef knife and it was comfortable, but not so much on the Santoku knife. I am new to the Santoku Knife. I guess I would hold and use it more like a cleaver. The knives all feel pretty sharp out of the box, though like nearly all new knives, they need some fine-tuning to be really sharp.Sure they are not a top-name branded knife set and if I was still a working line cook I would choose a different set, but as a casual home cook, I like these very much.##",5.0,"Reviewed in the United States on February 2, 2023",
36,Rose katie,Got a set for me and my mom,I first got this as a gift for my mom and then I got one for me. I normally purchase knife sets at Macy's and other similar stores. But this ser is just as good or better and at a fraction of the cost. We have had ours for years and they still look brand new. Only thing I wish is that I could buy individual knives for the case in which a knife gets lost.##,5.0,"Reviewed in the United States on February 23, 2023",
37,db,Nice Enough Set But Handles Too Small,"Nice enough set of knives for the money. Been using them for a few weeks and a couple of blades could use sharpening. The big drawback for me is the handles are too small, uncomfortable and not ergonomic. I think a smaller hand would be ok with this set. The scissors, though a nice touch are sharp but the finger holes are too small for me making them clumsy to use.##",4.0,"Reviewed in the United States on February 28, 2023",
38,Mr. & Mrs. Butler,Quality,This  “Amazon Basic”  kitchen knives set are heavy and well balanced seems to be quite a deal for the cost.  No regrets about purchasing this product.##,5.0,"Reviewed in the United States on February 28, 2023",
39,Atbert,Great set for the price!,"I purchased this set for our airbnb about 8 months ago.  They have held up great, still sharp and clean.  I just ordered another set for a new property.  Good value for the money.##",5.0,"Reviewed in the United States on February 21, 2023",
40,Nancy White,Gift for my mom. Scissors are in odd place.,"Christmas gift for Mom. After washing and setting up (and cutting myself, so I can attest for their sharpness!), I realized the scissors are in an odd place.  Both my daughter and I have knife blocks, and the scissors aren’t tucked away in middle where it’s hard to reach. It’s not the most convenient to reach your hand in there to grab these, and you use those all the time! Just my opinion. But nice set. She’s very happy. It’s something she’s been wanting.##",4.0,"Reviewed in the United States on January 7, 2023",
41,James Thomas,Good Quality,Definitely worth what I paid for them. They cut great.##,5.0,"Reviewed in the United States on February 19, 2023",
42,Net,very sharp,The only thing I don't like is that they are not for the dishwasher.##,4.0,"Reviewed in the United States on January 25, 2023",
43,Daffy,High Quality at a reasonable price.,I gave this to my daughter for Christmas and she absolutely loves it..♥️♥️##,5.0,"Reviewed in the United States on February 8, 2023",
44,Moke,NOT carbon steel - just stainless,"Many years ago, when I first left home, one of my first purchases was a set of kitchen knives from Hoffritz which I have treasured over the years, despite it not holding an edge in recently, because it was not carbon steel. Even though I am now 74 I decided to purchase another really good set. But the price tag was staggering: over $800 in many cases. Finally, after searching and searching this Amazon set popped up and it was only $50 but said it was carbon steel. I kind of knew that was too good to be true, and, alas, when I got them they said stainless.  They are decent and probably good enough at this point in my life, but I really do not think they should advertise falsely that they are carbon steel.##",3.0,"Reviewed in the United States on February 27, 2023",
45,Caleb,Amazing set,For the price its amazing. Durable and great for any of your cutting needs. They've stayed sharp and no spots of rust or wear anywhere on the blades. And the knife block was great as well. No issues with either##,5.0,"Reviewed in the United States 🇺🇸 on December 4, 2022",
46,Lyteeyez,Great  product,"Overall the knives are good, sturdy and sharp.##",4.0,"Reviewed in the United States 🇺🇸 on October 25, 2022",
47,R C.,This Set Has Given Great Service,"I'm a bit slow to review these knives, and I'll tell you why in a moment. I purchased this set in December of 2015, and the knives have given me fine daily service for over 5 years now. They sharpen and clean up well, and do everything I have asked them to. I use them for personal cooking. They clean up well, and still look brand new. If I needed another knife set, I'd buy these again in a heartbeat. I think the price is fair, good value for money, and the set looks great on my kitchen counter.So why am I writing a review of this knife set in January, 2021? Because today, I simply picked up one of the steak knifes out of my kitchen sink drying rack, and the blade simply broke in half in my hand. Right in the middle of the shaft in a straight line. I know my kitchen knives have never been used for prying or anything of that nature, so this was truly surprising. It simply made me think to review the set since I had gotten so much good use out of it. This is by no means a complaint about the knives. I think they have done a great job for me, and just about everything made by man breaks eventually if you use it enough.The good news is that I looked online here at Amazon, and I can buy a set of 8 exact replacements for $21. I only need one, but so what? I'll just keep the others as spares. I think it is great that I don't have to replace the whole knife set and block. This has been one of my better kitchen purchases. Definitely a recommended buy.##",5.0,"Reviewed in the United States 🇺🇸 on January 28, 2021",
48,Stella Cranfield,I received my knife and one steak knife was missing,I really like the set but one steak knife was missing. Please send me a steak knife so I want have to return.##,5.0,"Reviewed in the United States 🇺🇸 on December 10, 2022",
49,Alkemyst,Great knives,"I purchased these early Dec 2019.  I have sharpened them a few times along the way.  I don't have any of the rust issues (and my kids and wife leave them in the sink all the time and even have dish washered them).Tonight I am sharpening them again and thought about posting a review.  I have owned $500+ knife sets.  Outside of the block esp printed with Amazon Basics and Made in China printed on each blade, they look the part.  Full tang and decent steel.  They need to be kept up with as the steel does dull faster than the more expensive ones (at 5-10x the price).##",4.0,"Reviewed in the United States 🇺🇸 on May 28, 2022",
50,Tammy M.,Scissors awful,These knives are great and sharp. The scissors on the other hand can barely cut a piece of parchment paper. I had to go back to my Betty Crocker ones from the Dollar Tree Store. So if you're needing good knives you can get these but get another pair of scissors to go with them.##,3.0,"Reviewed in the United States 🇺🇸 on December 28, 2022",
51,J. Brooks,You get what you pay for.,These are ok and will do the job but if you are looking for sharp quality knives these are not that. The large knife does a great job I will give it that the rest are decent but low end knives but that’s what you are paying for. If you are ok with that then this is the set for you. If you are looking for super sharp great knives this is not the set.##,3.0,"Reviewed in the United States 🇺🇸 on December 12, 2022",
52,Amazon Customer,Great knife set,"Just got these but so far they feel great, are great quality and are an amazing value. If anything changes we'll update, but would recommend for sure.  Before buying these we looked at the insanely priced Cutco, we are happy we didn't go that direction.##",5.0,"Reviewed in the United States 🇺🇸 on November 15, 2022",
53,Krissey,Love them but…,A few knifes came either lol rusty or dirty on the “teeth” part but was able to of course deep clean##,4.0,"Reviewed in the United States 🇺🇸 on September 18, 2022",
54,J Myrner,Nice sharp knife set,Especially like the steak knives.  Recommend as a good starter for setting up a kitchen.##,5.0,"Reviewed in the United States 🇺🇸 on December 8, 2022",
55,draco7891,Forged Knives at a Stamped-Knife Price,"Purchased as a gift for a friend suffering with an old, rusted, chipped set of cheap big-box knives.As far as I can tell, these are one-piece forged/milled knives with a full tang... no idea how Amazon gets them so cheap. I have a set of J.A. Henckels Four-Star that were 5x the price, and these knives are almost as nice in fitment and quality. Some of the grinds at the bolster aren't quite symmetrical, but nothing that functionally affects the knife. Not show-dogs, just old reliable mutts that get you where you need to be.Knives have a good weight and balance, not too heavy but sit well in the hand and have a nice action. The edge out of the box is only average, and the chef's knife had a decent roll to the edge out of the box. However, they sharpen easily and can take a fine edge with a little work with the steel (no word on edge longevity yet, they don't cook that often).The shears come apart for cleaning (which is nice), although I found it a little too unstable when opening them wide, the rivet is at 90* so when taking a big bite they have a tendency to come apart rather than scissor. Changing to a design that doesn't separate until they're fully open would make them much better.The woodblock is pine, and had a distinct pine scent out of the box (I suppose this is an area where they saved money, I would pay a premium to get a bamboo block instead). The exterior was well-finished, but the interiors of the knife slots did have some rough spots and/or splinters from the milling. Nothing that stops it from working as intended, a little back and forth solved the majority of problems.Friend hand washed them after receiving them, but left them damp. Water spots, but no rust on any of the blades, the steel had light surface rust that came off with a scrubby sponge and soap. Overall I remain optimistic they will stand up to the abuse of a forgetful cook.Having bought expensive German steel, and now these, I daresay I would probably be unable to tell the difference between the two in the kitchen.##",5.0,"Reviewed in the United States 🇺🇸 on August 27, 2015",
56,MichaelJK,Very nice knife set,Knives are VERY sharp! They work well. They look durable. Nice to have a sharpener with the set. The wood block is the only thing that brought the knife set down. One slot wasn't cut through. Couldn't fit the bread knife in there. And the slot for the paring knife is too large.##,4.0,"Reviewed in the United States 🇺🇸 on June 13, 2022",
57,stephanie,Works good,It's cheap but well worth it. Saves me money and they stay sharp for a long time.##,5.0,"Reviewed in the United States 🇺🇸 on November 18, 2022",
58,Eric H.,Amazing for the price,"At a higher price they would have been 4 or 3 stars, but for $50 this is an insane deal. The steel is pretty good quality. It almost seems like it's hardened VG-10 but I think they would advertise that if it were so I'm guessing it's a cheaper stainless steel that just comes harder without being treated though I'm just speculating based on price. Anyways they're flat ground, take an edge easily, and hold it reasonably well. Nicer knives would certainly hold an edge longer but I'm pretty happy with them. The flat ground shape of the blade is actually ever so slightly convex as well, it's not too apparent in use but you can certainly see it in the reflection. The serration on the bread knife is the inverse of what I would prefer, rounded metal with points cut into it vs points extending from the blade with the rounded parts cut out. When the rounded parts are cut out it's easy to sharpen. When the points are cut out it's almost impossible to sharpen.The handles are the downfall of the knives. They're not smoothly finished and while they look alright they feel like a cheaply cut (although very solid) piece of plastic which is exactly what they are. A little bit better finishing on the handles would really improve the knives.The holding block serves it's purpose well. The sharpener is ok but below average, though the rough steel rod sharpeners just aren't great to begin with. Diamond coated rods are much better, though ceramic rod sharpeners are the best.Overall I love the knives and I'm glad I bought them. For the price they're the best deal I've ever found, no question. I love that there is no logo on them, but I just don't like to see branding in general even if it's a premium brand. If you're buying this for the bread knife or the sharpener, don't, they're not good. If you want the look and feel of a $300+ knife set, don't buy this, you'll be disappointed. If you want a good quality knife set but aren't willing to spend $300+ then absolutely buy these, they're great.##",5.0,"Reviewed in the United States 🇺🇸 on March 3, 2016",
59,BrentDC,This BASIC Set is used extensively in my kitchen & is a SOLID set.,"Purchased about 6 months ago, so far has been better than expected. Look at all of the complaints by people about issues after washing these sets in a dishwasher!THE COMPANY STATES ON THEIR PAGE NEVER TO DO THAT, handwashing only.I also oil them monthly with a light sheen of olive oil.The Shears are top notch, a pleasant surprise I keep at my Work Station for packages, mail & removing tags.Quite sharp & serviceable, all items.I use the steak knives & the small paring knife the most & so far they look brand new.Recommended highly for first time cooks & first knife set.##",4.0,"Reviewed in the United States 🇺🇸 on February 8, 2022",
60,margaret ,Quality first,"the quality of these knives, ESPECIALLY given the price, amazed me (and I was glad!)  They are sturdy (no bending!) and a good grip. Stainless steel or I would not have bought them.  I recommend and would gift them.##",5.0,"Reviewed in the United States 🇺🇸 on October 3, 2022",
61,Mark V,Great set of knives balanced between cost and quality,"I was in the market for a new set of knives because my old set, a long ago gift from my well intentioned parents, was serrated. I have also had some ""fancier"" knives over time as well including a Wushtof chef's knife and a Shun santoku knife. So when I started looking to replace my knife set, I started looking at various different brands.My main goal was to find a balance between the quality of the knives and the cost, as in many cases, knives can get expensive pretty quickly. I also knew that I didn't really need the steak knives that often come with these sets because we hardly entertain, which means not a significant need for steak knives.When I saw these, I thought ""This can't be for real for this price...""The knives work well, offering all the sizes and types I need for basic cooking. They are balanced fairly well, and while I could see some people not liking the plastic handles rather than wood, it doesn't really bother me. They are comfortable both in my grip and also in my wife's, who has smaller hand than I do. We find them easy to work with, from meats to fruits and veggies. They feel pretty solid, and appear to be full tang knives (all one piece of metal down through the handle, not welded together). I am pretty confident they will hold up for years with regular care, all at a price that is at or below many other introductory sets of knives.The block is a basic block of solid wood, as you would expect with most knife sets. The holes for the knives aren't cut exactly to the blade sizes, but honestly it doesn't really matter that it's not exact, as all the knives are able to fit in the slots. The rubber feet keep it in place on the counter, and the block is sealed/laminated to stand up to standard kitchen wear and exposure.I would recommend this set to anyone who is looking for a good balance between quality and cost, who needs a good set of knives to get them going in the kitchen and be functional, without breaking the bank.##",5.0,"Reviewed in the United States 🇺🇸 on July 3, 2015",
62,Priscilla C. Horn,They Rusted.,After a few washes the knives got rust spots on them.##,3.0,"Reviewed in the United States 🇺🇸 on December 14, 2022",
63,Sarah Long,Good Enough,"These knives are a good starter set and are nice quality for the money. I also like the variety of knives that it comes with and that it includes scissors. However, you can’t put them in the dishwasher, and they rust easily. Just keep that in mind so you remember to wash them right away.##",4.0,"Reviewed in the United States 🇺🇸 on May 22, 2022",
64,eightbitsoul,I see you've played knifey-spoony before.,"I bought this 18-piece AmazonBasic knife block set for my dad for Christmas and I'm very pleasingly pleased.In comparison to the 25 year old dull-as-dog-turd knives he previously had, these things are wicked sharp. I could literally take his old chef's knife and run it across my face and it would merely tickle. That's how dull they were. I mean, they cut the same if you were holding the blade and using them backwards. So, yeah, anything would be better than those, I guess.But these new knives really impressed me for the price. You get an 18 piece set for ~ $60. That means they're not professional knives. But who cares? You're not a professional knifer, are you? (I make that assumption on account of the fact you're looking at cheap knives). But that doesn't matter, because for the average person who just needs a pretty good set of knives to cut things (preferably food), these really can't be beat. I mean, they're mighty sharp. That's good. They have full tangs. That's also good. They're stainless steel. That's... debatable. But anyway...I also like the fact that the AmazonBasics logo isn't all over everything. It's just on the block. So now you can buy some Wusthoff or Henckels stickers to apply to the handles and make your friends think you're a big dog in the knife world. But be sure to constantly work the word ""Solingen"" into conversation. That will totally throw them off your scent.Here's a big tip to keeping these nice knives nice for as long as possible: DO NOT ever put these in your dishwasher, you lazy mother. And don't ever throw them in the sink for a couple days. Use them, HAND WASH them and immediately dry them, then put them back in the block. I know this takes a bit of effort in this hectic, mixed-up, crazy world, but it's worth it.Don't fear buying these knives. And don't fear the reaper, either. Blue Oyster Cult said so.##",5.0,"Reviewed in the United States 🇺🇸 on January 19, 2016",
65,Shea,I purchased this back in 2016,I have been replacing a lot of items in my kitchen recently and I just wanted to write a review on these knives. I originally purchased them back in 2016 expecting them only to last me a few years. These knives are still going strong. We have put them in the dishwasher consistently even though I think it was to hand wash. They have no rust or stains and are still pretty sharp! I am glad I purchased this sit. I think it’s going to last me for several more years.##,5.0,"Reviewed in the United States on July 9, 2022",
66,Toni,This is an inexpensive quality knife set!,"I have been a Chef for 17 yrs. and from experience know you don't get quality in an inexpensive knife set. This AmazonBasics Premium set really impressed me. The knives I use and have at home are mixed matched because I like good hefty knives. My wife always rags on me that the knives look crappy, so I got on here and started reading reviews. I was not gonna spend alot of money on a set knowing that I have good knives already. Then I saw this set, and looked at the video.I got them in TWO days, and when I opened the package I was expecting the block to be split, chipped, or have saw marks. As you can see the one I got was flawless. I then took out the chefs knife and smiled. Easily comparable to a 8"" Zwilling JA Henckels Pro Traditional Chefs Knife. It has the same quality, heft, and balance. TRUST ME I KNOW!!!! Beautiful knife. The thickness of the blade is equal to my Victorinox Fibrox Chefs Knife and I paid $45. for that knife alone!!! This here is a quality product at a good price. Treat them with respect and they will last for YEARS. If your looking for a good complete set, a nice wedding gift, of just looking to replace the ""crappy"" set you have look no further.##",5.0,"Reviewed in the United States on May 24, 2016",
67,Shante Robinson,Don't cut your Finger.,"There was nothing I liked, it work's just fine in the Kitchen.##",5.0,"Reviewed in the United States on November 7, 2022",
68,C W,Great Knives!,"I love these knives. Excellent quality, every knife you could possibly need, great storage block. The scissors are super sharp!##",5.0,"Reviewed in the United States on October 25, 2022",
69,Glory ,For an inexpensive knife these are wonderful,"For years I had a great set of Henckles. I had to sell them when I moved and needed something so I followed the reviews. These are great knives. They feel good when you hold them, they hold their sharpness yet they’re easy to sharpen if necessary. I agree what they say about rust spots but I never have left my knives sitting wet anyway. I highly recommend them##",5.0,"Reviewed in the United States on July 30, 2022",
70,Diane,"So far, so good.",I try to be gentle with how I use the knife. So far I am loving it##,4.0,"Reviewed in the United States on July 4, 2022",
71,Anna,Good set,Bought for my mom. Good knife set. She loves it.##,5.0,"Reviewed in the United States on November 2, 2022",
72,Brock Hollensteiner,"Great knives, but beware","These knifes arrived fast. Very sharp, but two sharp on the non cutting side. I was cutting a a sandwich and had my finger putting down pressure on the top of the knife and got a nice cut on my finger. Other than that these knifes are great. Just beware that the top side of the knifes are capable of cutting you if you put to much pressure on it.##",3.0,"Reviewed in the United States on October 2, 2022",
73,Chris S.,"THE BEST QUALITY EVER - Cuts, Weighs, Looks & Feels like the Import Henckel Knives","So after reading many reviews, It was time to buy!!!  This is an amazing knife set.  They have the Sharpness, Look, Weight & Feel of the Imported ""non-German"" Henckel Knives made in china.  Those knives are great, but your average import set is still around $200....For $50 for these knives - they're super sharp, been using them daily for over a month and every time I see them and use them I smirk... because of the GREAT Deal I got on them, and saved so much money vs buying a big name brand set of the same quality!!!I'm a person who likes quality, and usually name brand products have that top of the line quality I look for, but these Amazon Knives have that high quality but with a price that makes you wonder if they'll last, or be sharp or be as good as a $200+ knife set.The only knife that was a little weird was the 8"" Bread knife, usually the bread knives inverted cutting, but this is external rounded cutting.  The knife does actually slice through bread easier with its blade configuration... but its super sharp and cuts through a baguette like a hot knife through butter as they say!!!I could sit here and write a life story on these knives on how amazing they are, but I have to get back to work!  Buy them - YOU WILL NOT BE DISSSAPOINTED.  And if someone writes a bad review on these knifes, don't listen to them, they're either a SNOB or they never have anything nice to say about products or people and they'll never be happy in life!!!  just my two cents for reviewers!!##",5.0,"Reviewed in the United States on September 15, 2015",
74,MamaMoosh82,These are great! The scissors come apart for easy cleaning!,"I use these almost every day! I love that the scissors come apart so you can get in between the blades for cleaning. No more missed crusty bits that will degrade them later. They come with a sharpening tool, and each was individually wrapped during shipping with a tip guard. I cannot wait to purchase another set as a gift this month! Little tip: after you use them, don't just put them in the sink full of water or the dishwasher, take care of them and wash them by hand. They will last longer, and you reduce the chance of cutting yourself in the sink. They are SHARP!##",5.0,"Reviewed in the United States on March 13, 2022",
75,Ekrc97,Nice,The knife block is great. The knives are garbage feels very cheap. Get this if you need a knife block. Recycle the knives.##,3.0,"Reviewed in the United States on November 1, 2022",
